Abbreviation	Recon2Name	UniqueID	Degree in inhibition network	Database Names	KEGG Compound Type	PubChem CID	PubChem SID	HMDB	HMDB Kingdom	HMDB superClass	HMDB class	HMDB subClass
ksi	keratan sulfate i	C00573	1	Keratan sulfate			3852	HMDB01165	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Tetrasaccharides	Tetrahexoses
Lpipecol	l_pipecolate	C00408	2	L-Pipecolate		439227	3698	HMDB00070	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
saccrp_L	l_saccharopine	C00449	2	N6-(L-1,3-Dicarboxypropyl)-L-lysine		160556	3737	HMDB00279	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
mhista	n_methylhistamine	C05127	1	N-Methylhistamine		3614	7548	HMDB00898	Organic Compounds	Aromatic Cyclic Compounds	Azoles	Imidazoles
selnp	selenophosphate	C05172	1	Selenophosphoric acid		56928068	7583	HMDB03840	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Phosphites
3hpp	3_hydroxypropanoate	C01013	1	3-Hydroxypropanoate	Organic acids	68152	4258	HMDB00700	Organic Compounds	Organic Acids and Derivatives	Hydroxy Acids and Derivatives	Beta Hydroxy Acids and Derivatives
sph1p	sphinganine 1_phosphate	C01120	1	Sphinganine 1-phosphate		644260	4351	HMDB01383	Organic Compounds	Lipids	Sphingolipids	N/A
lald_D	d_lactaldehyde	C00937	1	(R)-Lactaldehyde		439350	4189	HMDB06458	Organic Compounds	Aliphatic Acyclic Compounds	Alcohols and Polyols	Secondary Alcohols
thmtp	thiamin triphosphate	C03028	1	Thiamin triphosphate		511	5933	HMDB01512	Organic Compounds	Aromatic Cyclic Compounds	Thiamines	Thiamine Phosphates
eryth	l_erythrulose	C02045	1	L-Erythrulose	Carbohydrates	5460032	5134	HMDB06293	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Tetroses
2dr1p	2_deoxy_d_ribose 1_phosphate	C00672	1	2-Deoxy-D-ribose 1-phosphate		5460448	3941	HMDB01351	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
drib	deoxyribose	C01801	1	Deoxyribose	Carbohydrates	9828112	4927	HMDB03224	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
C05953	Prostaglandin A2	C05953	1	Prostaglandin A2	Lipids	5280880	8237	HMDB02752	Organic Compounds	Lipids	Eicosanoids	Prostaglandins and related compounds
txa2	thromboxane a2	C02198	1	Thromboxane A2	Lipids	5280497	5266	HMDB01452	Organic Compounds	Lipids	Eicosanoids	Thromboxanes
15HPET	15_hydroperoxyeicosatetraenoic acid	C05966	1	15(S)-HPETE		5280893	8250	HMDB04244	Organic Compounds	Lipids	Eicosanoids	Hydroperoxyeicosatetraenoic Acids
taxol	paclitaxel	C07394	3	Paclitaxel		441276	9598	HMDB15360	Organic Compounds	Lipids	Prenol Lipids	Diterpenes
34dhpac	3,4_dihydroxyphenylacetaldehyde	C04043	1	3,4-Dihydroxyphenylacetaldehyde		119219	6744	HMDB03791	Organic Compounds	Aromatic Cyclic Compounds	Phenylacetaldehydes	N/A
CE2172	6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline	HMDB06044	1	Norsalsolinol			36937	HMDB06044	Organic Compounds	Aromatic Cyclic Compounds	Isoquinolines	N/A
3mox4hoxm	3_methoxy_4_hydroxymandelate	C05584	1	3-Methoxy-4-hydroxymandelate		1245	7910	HMDB00291	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Tyrosols and Derivatives
normete_L	l_normetanephrine	C05589	1	L-Normetanephrine		688100	7914	HMDB00819	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Benzenediols
CE2176	3-O-methyldopa	HMDB01434	1	3-Methoxytyrosine		451133	1670	HMDB01434	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
cmpacna	cmp_n_acetylneuraminate	C00128	1	CMP-N-acetylneuraminate		448209	3428	HMDB01176	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Acids and Derivatives	Sugar Amino Acids and Derivatives
CE1918	5-hydroxytryptophol	HMDB01855	1	5-Hydroxytryptophol		5362124	9061	HMDB01855	Organic Compounds	Aromatic Cyclic Compounds	Indoles	N/A
uppg3	uroporphyrinogen iii	C01051	2	Uroporphyrinogen III		1179	4293	HMDB01086	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Corrinoids
C05767	Uroporphyrin I	C05767	1	Uroporphyrin I		72424	8062	HMDB00936	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Porphyrins
C02469	Uroporphyrin III	C02469	1	Uroporphyrin III		72423	5484	HMDB00916	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Corrinoids
C05769	Coproporphyrin I	C05769	1	Coproporphyrin I		68271	8064	HMDB00643	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Porphyrins
C05770	Coproporphyrin III	C05770	1	Coproporphyrin III		114935	8065	HMDB00570	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Porphyrins
cholcoa	choloyl_coa	C01794	1	Choloyl-CoA		71448889	4921	HMDB01374	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
thcholstoic	3alpha,7alpha,12alpha_trihydroxy_5beta_cholestanoate	C04722	1	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate		440460	7294	HMDB03873	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Cholesterols and Derivatives
thrnt	l_threonate	C01620	1	Threonate		5460407	4772	HMDB00943	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Tetroses
mepi	metanephrine	C05588	2	L-Metanephrine		688084	7913	HMDB04063	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Benzenediols
trdrd	reduced thioredoxin	C00342	3	Thioredoxin			3635	NA		Others		
mi3p_D	1d_myo_inositol 3_phosphate	C04006	1	1D-myo-Inositol 3-phosphate		440194	6716	HMDB00213	Organic Compounds	Others	Cyclic Alcohols and Derivatives	Cyclitols and Derivatives
5g2oxpt	5_guanidino_2_oxopentanoate	C03771	1	5-Guanidino-2-oxopentanoate		558	6525	HMDB04225	Organic Compounds	Lipids	Fatty Acids and Conjugates	Amino Fatty Acids
aprgstrn	20alpha_hydroxyprogesterone	C04042	3	20alpha-Hydroxy-4-pregnen-3-one		8956	6743	HMDB03069	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
17ahprgstrn	17alpha_hydroxyprogesterone	C01176	2	17alpha-Hydroxyprogesterone	Hormones and transmitters	6238	4403	HMDB00374	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
lanost	lanosterol	C01724	3	Lanosterol		246983	4861	HMDB01251	Organic Compounds	Lipids	Prenol Lipids	Triterpenes
11docrtsl	11_deoxycortisol	C05488	1	11-Deoxycortisol	Hormones and transmitters	440707	7847	HMDB00015	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
CE2211	allopregnanolone	C13712	1	Allopregnanolone		92786	586301	HMDB01449	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
lthstrl	5alpha_cholest_7_en_3beta_ol	C01189	1	Lathosterol		65728	4415	HMDB01170	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Cholesterols and Derivatives
HC01943	Prothrombin	C01541	3	Warfarin		54678486	4702	HMDB01935	Organic Compounds	Aromatic Cyclic Compounds	Benzopyrans	Coumarins and Derivatives
mercppyr	mercaptopyruvate	C00957	2	Mercaptopyruvate		98	4208	HMDB01368	Organic Compounds	Organic Acids and Derivatives	Keto-Acids and Derivatives	Alpha Keto-Acids and Derivatives
mercplac	3_mercaptolactate	C05823	1	3-Mercaptolactate		9833951	8118	HMDB02127	Organic Compounds	Organic Acids and Derivatives	Hydroxy Acids and Derivatives	Alpha Hydroxy Acids and Derivatives
Sfglutth	s_formylglutathione	C01031	1	S-Formylglutathione		189122	4274	HMDB01550	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	N/A
dodecanac	Dodecanedioic acid	C02678	1	Dodecanedioic acid		12736	5648	HMDB00623	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Dicarboxylic Acids and Derivatives
selcys	selenocysteine	C05688	1	L-Selenocysteine	Peptides	25076	7995	HMDB03288	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
ficytC	ferricytochrome c	C00125	1	Ferricytochrome c			3425	NA		Others		
leuktrB4	leukotriene b4	C02165	2	Leukotriene B4	Lipids	5280492	5240	HMDB01085	Organic Compounds	Lipids	Eicosanoids	Leukotrienes
CE7083	leukotriene B5	HMDB05073	1	Leukotriene B5		3758768	5283125	HMDB05073	Organic Compounds	Lipids	Eicosanoids	Hydroxyeicosapentaenoic Acids
C05109	24,25-Dihydrolanosterol	C05109	1	24,25-Dihydrolanosterol		440560	7535	HMDB06839	Organic Compounds	Lipids	Prenol Lipids	Triterpenes
HC01162	(2R,4S,5R,6R)-2-[({[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphinato)oxy]-4-hydroxy-5-(2-hydroxyacetamido)-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylate	C03691	1	CMP-N-glycoloylneuraminate		656501	6465	HMDB12206	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Acids and Derivatives	Sugar Amino Acids and Derivatives
msa	malonate semialdehyde	C00222	1	3-Oxopropanoate	Organic acids	868	3522	HMDB11111	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Carboxylic Acid Derivatives
ivcoa	isovaleryl_coa	C02939	1	3-Methylbutanoyl-CoA		165435	5858	HMDB01113	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
34hpl	3_(4_hydroxyphenyl)lactate	C03672	1	3-(4-Hydroxyphenyl)lactate		9378	6448	HMDB00755	Organic Compounds	Aromatic Cyclic Compounds	Benzyl Alcohols and Derivatives	Phenylpyruvic Acid Derivatives
CE4888	dopaminochrome	C05578	1	5,6-Dihydroxyindole		114683	7904	HMDB04058	Organic Compounds	Aromatic Cyclic Compounds	Indoles	N/A
HC00682	S-Acetyldihydrolipoamide	C01136	1	S-Acetyldihydrolipoamide		1076	4367	HMDB01526	Organic Compounds	Aliphatic Acyclic Compounds	Dithiolanes	Lipoamides
phaccoa	phenylacetyl_coa	C00582	1	Phenylacetyl-CoA		165620	3861	HMDB06503	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
noncoa	nonanoylcoa	C01942	2	Nonanoyl-CoA		193520	5046	HMDB13028	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
HC01408	3-Oxohexanoyl-CoA	C05269	1	3-Oxohexanoyl-CoA		3082152	7656	HMDB03943	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
crn	l_carnitine	C00318	1	L-Carnitine		10917	3612	NA		Others		
leugly	Leucylglycine	HMDB28929	1	Leucyl-Glycine			NA	HMDB28929	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	N/A
glypro	Glycylproline	HMDB00721	1	Glycylproline		10459	79101	HMDB00721	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	N/A
glyphe	Glycylphenylalanine	HMDB28848	1	Glycyl-Phenylalanine			NA	HMDB28848	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	N/A
mma	methylamine	C00218	2	Methylamine		6329	3518	HMDB00164	Organic Compounds	Aliphatic Acyclic Compounds	Alkylamines	N/A
C01836	Neurotensin	C01836	2	Neurotensin			4955	NA		Others		
elaid	elaidic acid	C01712	1	(9E)-Octadecenoic acid	Lipids	637517	4850	NA		Others		
CE5797	neuromedin N	C15868	1	Neuromedin N			47205188	NA		Others		
CE5786	kinetensin	C15872	1	Kinetensin			47205192	NA		Others		
CE5782	somatostatin	HMDB13072	1	Somatostatin		11370435	53481605	HMDB13072	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	Cyclic Peptides
leuktrD4	leukotriene d4	C05951	1	Leukotriene D4	Lipids	5280878	8235	HMDB03080	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	N/A
leuktrE4	leukotriene e4	C05952	1	Leukotriene E4	Lipids	5280879	8236	HMDB02200	Organic Compounds	Lipids	Eicosanoids	Leukotrienes
rbt	ribitol	C00474	1	Ribitol		6912	3757	HMDB00508	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Alcohols	N/A
abt	l_arabinitol	C00532	1	L-Arabitol		439255	3814	HMDB01851	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Alcohols	N/A
galt	galactitol	C01697	1	Galactitol		11850	4837	HMDB00107	Organic Compounds	Lipids	Fatty Alcohols	N/A
